v J_v_vp J_v_vpp sigma1 sigma2 sigma3 E_1 E_2 E_3
0 18.7 19.1 0.13 1.0 2.0 20 30 50
4 18.5 18.8 0.16 1.1 2.1 20 30 50
8 18.3 18.4 0.20 1.2 2.2 20 30 50
12 18.1 17.9 0.26 1.3 2.3 20 30 50
16 17.9 17.4 0.32 1.4 2.5 20 30 50
20 17.7 16.9 0.39 1.5 2.6 20 30 50
24 17.5 16.4 0.47 1.6 2.8 20 30 50
28 17.1 15.9 0.56 1.7 2.9 20 30 50
32 16.9 15.4 0.65 1.9 3.1 20 30 50
36 16.7 15.0 0.75 2.0 3.3 20 30 50
40 16.5 14.7 0.83 2.1 3.4 20 30 50
