-5.000000000000000000e-01 0.000000000000000000e+00 1.997999999999999998e+00
0.000000000000000000e+00 1.175924999999999955e+03 1.989349999999999952e+00
1.000000000000000000e+00 3.506324999999999818e+03 1.972050000000000081e+00
2.000000000000000000e+00 5.808125000000000000e+03 1.954749999999999988e+00
3.000000000000000000e+00 8.081324999999999818e+03 1.937449999999999894e+00
4.000000000000000000e+00 1.032592499999999927e+04 1.920150000000000023e+00
5.000000000000000000e+00 1.254192499999999927e+04 1.902849999999999930e+00
6.000000000000000000e+00 1.472932500000000073e+04 1.885550000000000059e+00
7.000000000000000000e+00 1.688812500000000000e+04 1.868249999999999966e+00
8.000000000000000000e+00 1.901832500000000073e+04 1.850950000000000095e+00
9.000000000000000000e+00 2.111992499999999927e+04 1.833650000000000002e+00
1.000000000000000000e+01 2.319292499999999927e+04 1.816349999999999909e+00
