	10.0	0.152
	12.0	0.662
	14.0	1.308
	16.0	1.583
	17.0	1.615
	18.0	1.599
	20.0	1.518
	25.0	1.276
	30.0	1.098
	35.0	0.937
	40.0	0.824
	50.0	0.646
	60.0	0.565
	70.0	0.468
	80.0	0.42
	90.0	0.372
	100.0	0.323
	150.0	0.226
	200.0	0.178
