	e_energy	sigma
	16.0	0.0
	16.5	0.0
	17.0	0.0
	17.5	0.0
	18.0	0.0
	18.5	0.0
	19.0	0.0
	19.5	0.0
	20.0	0.0
	20.5	0.0
	21.0	0.0
	21.5	0.0
	22.0	4.346354350073201e-29
	22.5	1.7301416624078686e-28
	23.0	2.9965444546747367e-28
	23.5	4.234659514912852e-28
	24.0	5.445273443708035e-28
	24.5	6.629145013927145e-28
	25.0	7.787006379243685e-28
	30.0	1.8079229908143048e-27
	35.0	2.6415776850455186e-27
	40.0	3.3225652962067505e-27
	45.0	3.882551388269284e-27
	50.0	4.3453797265203436e-27
	55.0	4.729316467413856e-27
	60.0	5.0485667322669985e-27
	65.0	5.3143243087359865e-27
	70.0	5.5355136882660274e-27
	75.0	5.719324520850202e-27
	80.0	5.871603043347012e-27
	85.0	5.9971430918282705e-27
	90.0	6.099905410251773e-27
	95.0	6.1831849670813256e-27
	100.0	6.249740043388911e-27
	110.0	6.341608708394483e-27
	120.0	6.3901707716040664e-27
	140.0	6.397319885683232e-27
	160.0	6.3278742536029614e-27
	180.0	6.214279281479198e-27
	200.0	6.0758285342914845e-27
	225.0	5.885316282465644e-27
	250.0	5.687784538181818e-27
	275.0	5.490893141466431e-27
	300.0	5.2988917975956666e-27
	350.0	4.937511666874835e-27
	400.0	4.61058632530327e-27
	450.0	4.317612173788466e-27
	500.0	4.055620118198945e-27
	550.0	3.821045972715486e-27
	600.0	3.610432156848561e-27
	650.0	3.4206678249356465e-27
	700.0	3.2490436404907656e-27
	750.0	3.0932342055853814e-27
	800.0	2.9512555045183567e-27
	850.0	2.8214171483703906e-27
	900.0	2.7022773108055026e-27
	950.0	2.5926030671837003e-27
	1000.0	2.4913366309586645e-27
