	e_energy	sigma
	16.0	0.0
	16.5	0.0
	17.0	0.0
	17.5	0.0
	18.0	0.0
	18.5	0.0
	19.0	0.0
	19.5	5.518601875326059e-28
	20.0	1.6470894133742287e-27
	20.5	2.7145150726050628e-27
	21.0	3.755016275189148e-27
	21.5	4.769436794454472e-27
	22.0	5.7585868089293604e-27
	22.5	6.723244542390283e-27
	23.0	7.664157808989631e-27
	23.5	8.582045469807523e-27
	24.0	9.477598806691702e-27
	24.5	1.0351482818810208e-26
	25.0	1.1204337446938658e-26
	30.0	1.870127632020247e-26
	35.0	2.4650720244963696e-26
	40.0	2.9414057646164957e-26
	45.0	3.3252761560886535e-26
	50.0	3.636027528639962e-26
	55.0	3.888246691136089e-26
	60.0	4.09311580404728e-26
	65.0	4.259331179740711e-26
	70.0	4.3937418967074433e-26
	75.0	4.5018028214612175e-26
	80.0	4.5879018513213876e-26
	85.0	4.655600159260807e-26
	90.0	4.7078111550477515e-26
	95.0	4.746935559519681e-26
	100.0	4.774964577846757e-26
	110.0	4.8041141687893705e-26
	120.0	4.805621504647425e-26
	140.0	4.753363126602585e-26
	160.0	4.6567064575415154e-26
	180.0	4.536922982607578e-26
	200.0	4.406183098586723e-26
	225.0	4.2378937872899097e-26
	250.0	4.071215502931121e-26
	275.0	3.910136043642861e-26
	300.0	3.756574494650155e-26
	350.0	3.4744981565878807e-26
	400.0	3.225265592169014e-26
	450.0	3.0056860134025965e-26
	500.0	2.811866387229822e-26
	550.0	2.640117523204111e-26
	600.0	2.4872126498055476e-26
	650.0	2.350417085870605e-26
	700.0	2.2274417190153855e-26
	750.0	2.1163772264833446e-26
	800.0	2.0156297325693628e-26
	850.0	1.923864547015677e-26
	900.0	1.839959222776015e-26
	950.0	1.762965218121825e-26
	1000.0	1.69207687715997e-26
