	e_energy	sigma
	16.0	0.0
	16.5	0.0
	17.0	0.0
	17.5	0.0
	18.0	0.0
	18.5	0.0
	19.0	0.0
	19.5	0.0
	20.0	0.0
	20.5	1.8182299816546192e-27
	21.0	6.502052150918453e-27
	21.5	1.1072944771832371e-26
	22.0	1.553430199839177e-26
	22.5	1.9889388219730845e-26
	23.0	2.41413441472204e-26
	23.5	2.829319256288969e-26
	24.0	3.2347843750941e-26
	24.5	3.630810063254195e-26
	25.0	4.017666362262395e-26
	30.0	7.434844490429221e-26
	35.0	1.0171013224613962e-25
	40.0	1.2381089472123093e-25
	45.0	1.417811734299144e-25
	50.0	1.564636012253169e-25
	55.0	1.6849786863606235e-25
	60.0	1.7837736727620023e-25
	65.0	1.8648796855965774e-25
	70.0	1.9313516994652996e-25
	75.0	1.9856347595789265e-25
	80.0	2.0297047984380216e-25
	85.0	2.0651725674870138e-25
	90.0	2.0933614370814797e-25
	95.0	2.1153663846949492e-25
	100.0	2.1320992429180495e-25
	110.0	2.152683149643617e-25
	120.0	2.159901729409383e-25
	140.0	2.1471395741195004e-25
	160.0	2.1119242164594637e-25
	180.0	2.0644184877249874e-25
	200.0	2.010539467392677e-25
	225.0	1.9394647840185553e-25
	250.0	1.8678353924814484e-25
	275.0	1.7977769509434152e-25
	300.0	1.7303909747828105e-25
	350.0	1.605406375043454e-25
	400.0	1.4939235228651563e-25
	450.0	1.3950261134861464e-25
	500.0	1.3072680811913965e-25
	550.0	1.2291746409042823e-25
	600.0	1.1594086276459146e-25
	650.0	1.0968117831610098e-25
	700.0	1.0404000096838076e-25
	750.0	9.89343445525528e-26
	800.0	9.429434499352687e-26
	850.0	9.006110144604519e-26
	900.0	8.618480265186898e-26
	950.0	8.262315716680375e-26
	1000.0	7.93401001044665e-26
