	e_energy	sigma
	16.0	0.0
	16.5	0.0
	17.0	0.0
	17.5	0.0
	18.0	0.0
	18.5	0.0
	19.0	5.4607563462090824e-24
	19.5	1.1975768157454687e-23
	20.0	1.832000711720474e-23
	20.5	2.4499041690486298e-23
	21.0	3.051820964534166e-23
	21.5	3.638262976878838e-23
	22.0	4.20972128776289e-23
	22.5	4.7666672173101653e-23
	23.0	5.309553298451603e-23
	23.5	5.838814194349806e-23
	24.0	6.354867562726478e-23
	24.5	6.85811487064119e-23
	25.0	7.348942163001494e-23
	30.0	1.164935626801542e-22
	35.0	1.5041395716211568e-22
	40.0	1.774082165235015e-22
	45.0	1.9902870128059614e-22
	50.0	2.1641821592952483e-22
	55.0	2.3043469362001797e-22
	60.0	2.417331759615485e-22
	65.0	2.5082119983275745e-22
	70.0	2.5809711588397e-22
	75.0	2.6387715789160046e-22
	80.0	2.684149226292547e-22
	85.0	2.719156216046212e-22
	90.0	2.745466635534161e-22
	95.0	2.76445618179563e-22
	100.0	2.7772628228056813e-22
	110.0	2.7879605600116366e-22
	120.0	2.7834448596761324e-22
	140.0	2.7443823948250607e-22
	160.0	2.681693457107139e-22
	180.0	2.6071843739733206e-22
	200.0	2.527525964606206e-22
	225.0	2.426399955133126e-22
	250.0	2.3272516699955606e-22
	275.0	2.232114327297726e-22
	300.0	2.1419023350646483e-22
	350.0	1.977165869240013e-22
	400.0	1.8324561976604396e-22
	450.0	1.7055063691145904e-22
	500.0	1.5938178505579553e-22
	550.0	1.495107876734552e-22
	600.0	1.4074181360645643e-22
	650.0	1.3291091984532727e-22
	700.0	1.2588204893635915e-22
	750.0	1.195424432850348e-22
	800.0	1.1379844590562672e-22
	850.0	1.0857194730266143e-22
	900.0	1.037974795148233e-22
	950.0	9.94198747891322e-23
	1000.0	9.539238986531362e-23
