	e_energy	sigma
	16.0	7.394603034744263e-29
	16.5	7.816315383878649e-29
	17.0	8.219571805814968e-29
	17.5	8.605307337001504e-29
	18.0	8.974398252512563e-29
	18.5	9.327666539710055e-29
	19.0	9.66588397122164e-29
	19.5	9.989775818428214e-29
	20.0	1.0300024241885772e-28
	20.5	1.0597271390950984e-28
	21.0	1.088212224124981e-28
	21.5	1.1155147195451398e-28
	22.0	1.1416884470023632e-28
	22.5	1.1667842288198695e-28
	23.0	1.1908500897222602e-28
	23.5	1.2139314426062894e-28
	24.0	1.2360712598070332e-28
	24.5	1.2573102311605873e-28
	25.0	1.2776869100328041e-28
	30.0	1.4412247226083668e-28
	35.0	1.5492280928118617e-28
	40.0	1.6193734860843879e-28
	45.0	1.6630688799142219e-28
	50.0	1.6879368529087934e-28
	55.0	1.6992159328546702e-28
	60.0	1.7005903676777103e-28
	65.0	1.6947014190136166e-28
	70.0	1.683473162779173e-28
	75.0	1.6683261181657371e-28
	80.0	1.650320823739657e-28
	85.0	1.630256425751428e-28
	90.0	1.6087396611785794e-28
	95.0	1.5862339343797577e-28
	100.0	1.563094750617595e-28
	110.0	1.5159473371300434e-28
	120.0	1.4688148117488066e-28
	140.0	1.3777952235994215e-28
	160.0	1.2934543708842257e-28
	180.0	1.2165867635555064e-28
	200.0	1.1469702993905487e-28
	225.0	1.0692349755540702e-28
	250.0	1.0005606948768604e-28
	275.0	9.396651151870118e-29
	300.0	8.854206010993287e-29
	350.0	7.932037246935449e-29
	400.0	7.179594607734633e-29
	450.0	6.55520689582164e-29
	500.0	6.029363358674717e-29
	550.0	5.580771674435117e-29
	600.0	5.193761768183201e-29
	650.0	4.8565805656495157e-29
	700.0	4.560257475733422e-29
	750.0	4.297836051946467e-29
	800.0	4.0638437333558126e-29
	850.0	3.8539190770342855e-29
	900.0	3.664545092430098e-29
	950.0	3.4928553519974815e-29
	1000.0	3.3364908817892765e-29
