	e_energy	sigma
	16.0	1.8819882665424532e-23
	16.5	2.0356821267582715e-23
	17.0	2.183287991379112e-23
	17.5	2.3250919672407326e-23
	18.0	2.4613633571577465e-23
	18.5	2.592355859591624e-23
	19.0	2.718308667377961e-23
	19.5	2.8394474752737196e-23
	20.0	2.955985405021598e-23
	20.5	3.068123855693626e-23
	21.0	3.176053286252695e-23
	21.5	3.27995393654427e-23
	22.0	3.3799964922884885e-23
	22.5	3.4763426990745947e-23
	23.0	3.569145929855665e-23
	23.5	3.658551709994104e-23
	24.0	3.744698203510298e-23
	24.5	3.827716663832244e-23
	25.0	3.9077318520276294e-23
	30.0	4.566211614375173e-23
	35.0	5.025457416705166e-23
	40.0	5.345175253259706e-23
	45.0	5.564834569427334e-23
	50.0	5.711388205981936e-23
	55.0	5.803738287667777e-23
	60.0	5.855437717018131e-23
	65.0	5.87638657892812e-23
	70.0	5.873931710545525e-23
	75.0	5.853599078918386e-23
	80.0	5.81959323526494e-23
	85.0	5.775145027629012e-23
	90.0	5.722758117028019e-23
	95.0	5.664386592050084e-23
	100.0	5.601564795938414e-23
	110.0	5.467161699959252e-23
	120.0	5.326529663668185e-23
	140.0	5.0426288349125636e-23
	160.0	4.76903639754179e-23
	180.0	4.512984032224414e-23
	200.0	4.2765245983679025e-23
	225.0	4.008064484978419e-23
	250.0	3.767441382700189e-23
	275.0	3.5516079178897553e-23
	300.0	3.3575332629475965e-23
	350.0	3.0239463037562427e-23
	400.0	2.7485637713973456e-23
	450.0	2.517996361437355e-23
	500.0	2.322437045625047e-23
	550.0	2.1546417121898285e-23
	600.0	2.0091848538579357e-23
	650.0	1.8819411994513517e-23
	700.0	1.7697272862254372e-23
	750.0	1.6700519078833775e-23
	800.0	1.5809402290241803e-23
	850.0	1.5008080650776744e-23
	900.0	1.428370719226014e-23
	950.0	1.3625759460367788e-23
	1000.0	1.3025539956810635e-23
