	e_energy	sigma
	16.0	2.5658797370675452e-20
	16.5	2.590580630848269e-20
	17.0	2.6127469288996555e-20
	17.5	2.632578651081772e-20
	18.0	2.650257872719059e-20
	18.5	2.6659506037650826e-20
	19.0	2.679808440886244e-20
	19.5	2.6919700236040163e-20
	20.0	2.702562320864987e-20
	20.5	2.7117017704431395e-20
	21.0	2.7194952902712123e-20
	21.5	2.7260411780287903e-20
	22.0	2.731429912988553e-20
	22.5	2.735744872161361e-20
	23.0	2.7390629711231627e-20
	23.5	2.741455238500758e-20
	24.0	2.74298733189765e-20
	24.5	2.743720002021212e-20
	25.0	2.743709510899968e-20
	30.0	2.7125579131580134e-20
	35.0	2.646574265926629e-20
	40.0	2.564425422376724e-20
	45.0	2.4758681254294352e-20
	50.0	2.386136189979136e-20
	55.0	2.2980502072607614e-20
	60.0	2.213096251576562e-20
	65.0	2.1320043188330914e-20
	70.0	2.0550702648929785e-20
	75.0	1.982340239375208e-20
	80.0	1.9137186752313153e-20
	85.0	1.8490324932701534e-20
	90.0	1.7880696093965786e-20
	95.0	1.730602061677103e-20
	100.0	1.6763997907942172e-20
	110.0	1.5769050291766753e-20
	120.0	1.4879298389138672e-20
	140.0	1.3359733654785502e-20
	160.0	1.2113790566012463e-20
	180.0	1.1076017629253847e-20
	200.0	1.0199434802880806e-20
	225.0	9.27913208402948e-21
	250.0	8.50974222360164e-21
	275.0	7.857296753850478e-21
	300.0	7.29720936601224e-21
	350.0	6.385770038100662e-21
	400.0	5.676068223713249e-21
	450.0	5.1079808620362444e-21
	500.0	4.6430559535863354e-21
	550.0	4.255579358503157e-21
	600.0	3.927713650002842e-21
	650.0	3.646701259191968e-21
	700.0	3.403178589912931e-21
	750.0	3.1901189430456086e-21
	800.0	3.002146954978043e-21
	850.0	2.835080795417931e-21
	900.0	2.6856185513548425e-21
	950.0	2.5511184971209575e-21
	1000.0	2.4294420387678555e-21
