	e_energy	sigma
	16.0	0.0
	16.5	0.0
	17.0	0.0
	17.5	0.0
	18.0	0.0
	18.5	0.0
	19.0	0.0
	19.5	1.3826801258229724e-29
	20.0	2.96256435327984e-29
	20.5	4.5020663433569137e-29
	21.0	6.002470393900851e-29
	21.5	7.465008894096925e-29
	22.0	8.890864896948793e-29
	22.5	1.02811745406324e-28
	23.0	1.1637029328975546e-28
	23.5	1.2959478280527186e-28
	24.0	1.4249529954961065e-28
	24.5	1.5508154364899693e-28
	25.0	1.673628478064132e-28
	30.0	2.752261818876507e-28
	35.0	3.6068655864662892e-28
	40.0	4.28999737352149e-28
	45.0	4.839626746678125e-28
	50.0	5.2838071716956285e-28
	55.0	5.643667550159049e-28
	60.0	5.935387685395061e-28
	65.0	6.171538034688373e-28
	70.0	6.362009745028349e-28
	75.0	6.514673664334664e-28
	80.0	6.635855897424288e-28
	85.0	6.730686609990396e-28
	90.0	6.803359633979761e-28
	95.0	6.857328253793238e-28
	100.0	6.8954546418556525e-28
	110.0	6.933340270732895e-28
	120.0	6.931885790153215e-28
	140.0	6.850575473943578e-28
	160.0	6.706623566158811e-28
	180.0	6.530370436568836e-28
	200.0	6.339118492267382e-28
	225.0	6.093889122102558e-28
	250.0	5.851688781023384e-28
	275.0	5.618083822075356e-28
	300.0	5.395709723410762e-28
	350.0	4.987891071103445e-28
	400.0	4.6281304397217555e-28
	450.0	4.311541708155118e-28
	500.0	4.032344008794e-28
	550.0	3.785116583800132e-28
	600.0	3.565144060034489e-28
	650.0	3.368443869568833e-28
	700.0	3.1916902897201976e-28
	750.0	3.0321142997845636e-28
	800.0	2.887407561092932e-28
	850.0	2.755639259798672e-28
	900.0	2.635187120830037e-28
	950.0	2.524681283299632e-28
	1000.0	2.42295901616873e-28
