	e_energy	sigma
	16.0	1.8969966576056176e-22
	16.5	2.0142971099581718e-22
	17.0	2.126589740812634e-22
	17.5	2.234123658668605e-22
	18.0	2.337132571021891e-22
	18.5	2.4358359388695865e-22
	19.0	2.5304400293528227e-22
	19.5	2.6211388768564034e-22
	20.0	2.7081151617073595e-22
	20.5	2.791541014586162e-22
	21.0	2.8715787538643905e-22
	21.5	2.948381562293413e-22
	22.0	3.0220941087752357e-22
	22.5	3.092853120336318e-22
	23.0	3.1607879088869625e-22
	23.5	3.2260208568734704e-22
	24.0	3.288667865509639e-22
	24.5	3.3488387689013545e-22
	25.0	3.406637717047115e-22
	30.0	3.873657199426609e-22
	35.0	4.186764161404872e-22
	40.0	4.39422203544145e-22
	45.0	4.52736679700943e-22
	50.0	4.607251572518949e-22
	55.0	4.648419392099506e-22
	60.0	4.661148898247263e-22
	65.0	4.652844591403304e-22
	70.0	4.628926458030032e-22
	75.0	4.593415581499622e-22
	80.0	4.549329158539615e-22
	85.0	4.498952682020791e-22
	90.0	4.444031022353061e-22
	95.0	4.385904806240011e-22
	100.0	4.325609192368207e-22
	110.0	4.201539314195078e-22
	120.0	4.076321417432058e-22
	140.0	3.8321841144710235e-22
	160.0	3.6039856825388e-22
	180.0	3.39475711541556e-22
	200.0	3.2044198270106415e-22
	225.0	2.991069271307402e-22
	250.0	2.80195409520616e-22
	275.0	2.633810531873038e-22
	300.0	2.4837026872182214e-22
	350.0	2.2278569097996576e-22
	400.0	2.018527743300563e-22
	450.0	1.8444582451597335e-22
	500.0	1.6976167181502523e-22
	550.0	1.572177488078108e-22
	600.0	1.4638360550810232e-22
	650.0	1.3693538001176222e-22
	700.0	1.2862525741991108e-22
	750.0	1.2126066125798644e-22
	800.0	1.146898258356656e-22
	850.0	1.0879161601918383e-22
	900.0	1.0346822240400645e-22
	950.0	9.863983647706751e-23
	1000.0	9.424071179565031e-23
