	e_energy	sigma
	16.0	6.537658829558805e-22
	16.5	6.833722615218482e-22
	17.0	7.115773976629705e-22
	17.5	7.38456374920059e-22
	18.0	7.640793189763066e-22
	18.5	7.885117931004839e-22
	19.0	8.118151565420379e-22
	19.5	8.340468898581803e-22
	20.0	8.552608906720601e-22
	20.5	8.755077429445114e-22
	21.0	8.948349624802597e-22
	21.5	9.132872210748587e-22
	22.0	9.309065514343793e-22
	22.5	9.477325347602538e-22
	23.0	9.638024726819517e-22
	23.5	9.791515450362142e-22
	24.0	9.93812954829928e-22
	24.5	1.0078180615814278e-21
	25.0	1.021196504109534e-21
	30.0	1.1260074658655074e-21
	35.0	1.1914289568660486e-21
	40.0	1.2306021778745367e-21
	45.0	1.2518472899046551e-21
	50.0	1.2606265750389394e-21
	55.0	1.260631779527741e-21
	60.0	1.2544175396392838e-21
	65.0	1.2437860509214453e-21
	70.0	1.2300289519441638e-21
	75.0	1.2140839868358084e-21
	80.0	1.1966390793783596e-21
	85.0	1.1782030079988808e-21
	90.0	1.1591543299444484e-21
	95.0	1.1397758247393513e-21
	100.0	1.1202791071444586e-21
	110.0	1.0815238407061648e-21
	120.0	1.0437268756667279e-21
	140.0	9.725779538946188e-22
	160.0	9.082052771085133e-22
	180.0	8.505130696205808e-22
	200.0	7.989186862922265e-22
	225.0	7.419345083368104e-22
	250.0	6.920760224416786e-22
	275.0	6.482055143562553e-22
	300.0	6.093743346808365e-22
	350.0	5.438531446085636e-22
	400.0	4.908155057092788e-22
	450.0	4.470727588932007e-22
	500.0	4.1041248530107633e-22
	550.0	3.7926171197294902e-22
	600.0	3.524756855160875e-22
	650.0	3.2920335922969953e-22
	700.0	3.087998203141714e-22
	750.0	2.907679363768025e-22
	800.0	2.747185908982936e-22
	850.0	2.6034301379552094e-22
	900.0	2.4739315453601246e-22
	950.0	2.356675132205294e-22
	1000.0	2.250007463039903e-22
