	e_energy	sigma
	16.0	8.44360487045361e-23
	16.5	8.94316891343971e-23
	17.0	9.421118584297679e-23
	17.5	9.878539760762499e-23
	18.0	1.0316450589912149e-22
	18.5	1.0735806608208378e-22
	19.0	1.1137505406105793e-22
	19.5	1.1522390883736032e-22
	20.0	1.189125713882666e-22
	20.5	1.2244852023349054e-22
	21.0	1.2583880401310586e-22
	21.5	1.2909007136533427e-22
	22.0	1.3220859836125926e-22
	22.5	1.352003137259502e-22
	23.0	1.3807082205118618e-22
	23.5	1.408254251835305e-22
	24.0	1.4346914195255533e-22
	24.5	1.460067263872339e-22
	25.0	1.484426845536352e-22
	30.0	1.680549051395186e-22
	35.0	1.8109928765763806e-22
	40.0	1.896520069415081e-22
	45.0	1.9505670409813681e-22
	50.0	1.9821345044758263e-22
	55.0	1.9974228216743612e-22
	60.0	2.0008026754395418e-22
	65.0	1.9954144713951e-22
	70.0	1.9835510264662193e-22
	75.0	1.966908951059362e-22
	80.0	1.9467578831521853e-22
	85.0	1.9240568808932777e-22
	90.0	1.899535988535965e-22
	95.0	1.8737543513646545e-22
	100.0	1.8471422360079405e-22
	110.0	1.792679989821603e-22
	120.0	1.738001782739306e-22
	140.0	1.6319543345577145e-22
	160.0	1.5333010013357026e-22
	180.0	1.44314420637879e-22
	200.0	1.3613266465519672e-22
	225.0	1.2698078670531117e-22
	250.0	1.1888330873813935e-22
	275.0	1.1169426130025997e-22
	300.0	1.0528399354685276e-22
	350.0	9.437356146537734e-23
	400.0	8.546007770946956e-23
	450.0	7.805644569207136e-23
	500.0	7.181654564567813e-23
	550.0	6.649004902656415e-23
	600.0	6.189239336150432e-23
	650.0	5.788495395352257e-23
	700.0	5.436180306296789e-23
	750.0	5.124071830724484e-23
	800.0	4.845696417454537e-23
	850.0	4.5958913125979097e-23
	900.0	4.3704908744804045e-23
	950.0	4.166098232425378e-23
	1000.0	3.9799165817447165e-23
