	e_energy	sigma
	16.0	0.0
	16.5	0.0
	17.0	2.4021084915263793e-25
	17.5	5.402749507484127e-25
	18.0	8.315597060448122e-25
	18.5	1.11438421675099e-24
	19.0	1.389052866874633e-24
	19.5	1.655856153842625e-24
	20.0	1.915071464061844e-24
	20.5	2.166963797202895e-24
	21.0	2.4117864431163705e-24
	21.5	2.6497816149543665e-24
	22.0	2.88118104176532e-24
	22.5	3.1062065235544995e-24
	23.0	3.325070451552672e-24
	23.5	3.537976296208911e-24
	24.0	3.7451190652176575e-24
	24.5	3.946685733703234e-24
	25.0	4.142855648514778e-24
	30.0	5.842434139477586e-24
	35.0	7.155175743703332e-24
	40.0	8.178004969014057e-24
	45.0	8.979400362745768e-24
	50.0	9.60897138580526e-24
	55.0	1.010342857905107e-23
	60.0	1.0490435437423519e-23
	65.0	1.079116794599591e-23
	70.0	1.1022059410395521e-23
	75.0	1.1196016815851286e-23
	80.0	1.1323285679148454e-23
	85.0	1.1412075849286098e-23
	90.0	1.1469021484652613e-23
	95.0	1.149952394226548e-23
	100.0	1.1508010656931448e-23
	110.0	1.1472918201769842e-23
	120.0	1.1386159020375883e-23
	140.0	1.1115819209150566e-23
	160.0	1.077595487832989e-23
	180.0	1.0407957236130968e-23
	200.0	1.0034108426098644e-23
	225.0	9.576370797222144e-24
	250.0	9.139759912901621e-24
	275.0	8.729053816129206e-24
	300.0	8.345493872922086e-24
	350.0	7.65685807980453e-24
	400.0	7.06214819599117e-24
	450.0	6.546952179540945e-24
	500.0	6.098099376241827e-24
	550.0	5.704507497162441e-24
	600.0	5.357112313103813e-24
	650.0	5.0485627554110485e-24
	700.0	4.772896664551461e-24
	750.0	4.5252589011162e-24
	800.0	4.3016726444786694e-24
	850.0	4.098858888388435e-24
	900.0	3.914095429344398e-24
	950.0	3.745106924148333e-24
	1000.0	3.589978975799529e-24
