	e_energy	sigma
	16.0	1.072762778670368e-23
	16.5	1.1718923150149377e-23
	17.0	1.2672050239727652e-23
	17.5	1.3588763595218255e-23
	18.0	1.4470716759815997e-23
	18.5	1.5319469352985956e-23
	19.0	1.613649355926685e-23
	19.5	1.6923180088467883e-23
	20.0	1.768084365677114e-23
	20.5	1.8410728033023285e-23
	21.0	1.9114010689884848e-23
	21.5	1.9791807095424162e-23
	22.0	2.0445174677127995e-23
	22.5	2.107511648709395e-23
	23.0	2.1682584594320018e-23
	23.5	2.226848322747058e-23
	24.0	2.283367168923803e-23
	24.5	2.3378967061401733e-23
	25.0	2.390514671788294e-23
	30.0	2.8262442606486313e-23
	35.0	3.1341239026158157e-23
	40.0	3.351811460958095e-23
	45.0	3.504369749092654e-23
	50.0	3.609017677868083e-23
	55.0	3.677898548196226e-23
	60.0	3.719765041526119e-23
	65.0	3.7410430967145036e-23
	70.0	3.7465248723411866e-23
	75.0	3.739832363490824e-23
	80.0	3.723734877949773e-23
	85.0	3.700370913564782e-23
	90.0	3.6714060374905356e-23
	95.0	3.638147035934556e-23
	100.0	3.6016256329888127e-23
	110.0	3.5219049086481475e-23
	120.0	3.437005799669848e-23
	140.0	3.2628170652345866e-23
	160.0	3.092650245060829e-23
	180.0	2.9319695124074737e-23
	200.0	2.7826320119923474e-23
	225.0	2.6121703173678444e-23
	250.0	2.4586754130938696e-23
	275.0	2.3204909850671292e-23
	300.0	2.1958683213171978e-23
	350.0	1.9809161242228272e-23
	400.0	1.802820176928051e-23
	450.0	1.653290757226445e-23
	500.0	1.5261846292816977e-23
	550.0	1.416927877593126e-23
	600.0	1.3220749023784662e-23
	650.0	1.2389941057092023e-23
	700.0	1.1656474225826585e-23
	750.0	1.1004352940508215e-23
	800.0	1.0420865993366946e-23
	850.0	9.895795319830768e-24
	900.0	9.42083961955548e-24
	950.0	8.989188917453741e-24
	1000.0	8.595206517413496e-24
