	e_energy	sigma
	16.0	2.019409447855774e-22
	16.5	2.0238422141812719e-22
	17.0	2.0269082262817397e-22
	17.5	2.0287386893053643e-22
	18.0	2.0294515067325915e-22
	18.5	2.0291528132002524e-22
	19.0	2.02793830621314e-22
	19.5	2.0258944064566613e-22
	20.0	2.023099271543289e-22
	20.5	2.0196236840255634e-22
	21.0	2.0155318312164366e-22
	21.5	2.0108819916374678e-22
	22.0	2.00572714065885e-22
	22.5	2.0001154860162885e-22
	23.0	1.9940909423198194e-22
	23.5	1.987693552353177e-22
	24.0	1.98095986185497e-22
	24.5	1.9739232535383894e-22
	25.0	1.9666142453151367e-22
	30.0	1.8836682889740262e-22
	35.0	1.7933326229569652e-22
	40.0	1.7037242859297645e-22
	45.0	1.618279694844673e-22
	50.0	1.5383136433036957e-22
	55.0	1.4641504453881236e-22
	60.0	1.3956529196472594e-22
	65.0	1.3324792324077394e-22
	70.0	1.274210160106643e-22
	75.0	1.220412210881157e-22
	80.0	1.170668123053355e-22
	85.0	1.1245905061207583e-22
	90.0	1.081826744387347e-22
	95.0	1.0420594355939021e-22
	100.0	1.0050046425610527e-22
	110.0	9.380475690215834e-23
	120.0	8.792446934465618e-23
	140.0	7.809392890136337e-23
	160.0	7.021467023909091e-23
	180.0	6.376553097748484e-23
	200.0	5.839319441479968e-23
	225.0	5.282279646431599e-23
	250.0	4.821817353571922e-23
	275.0	4.4349240329785026e-23
	300.0	4.105331775762162e-23
	350.0	3.573814128889158e-23
	400.0	3.163949174795962e-23
	450.0	2.8383149595835553e-23
	500.0	2.5733925595933687e-23
	550.0	2.3536652048154775e-23
	600.0	2.1684846678956237e-23
	650.0	2.010302056423762e-23
	700.0	1.873617331491811e-23
	750.0	1.7543287235185866e-23
	800.0	1.649315128388067e-23
	850.0	1.556159671536066e-23
	900.0	1.472961756497166e-23
	950.0	1.3982062390316984e-23
	1000.0	1.3306704530872217e-23
