	e_energy	sigma
	16.0	1.2827854273247398e-21
	16.5	1.3428573688149687e-21
	17.0	1.400120295481243e-21
	17.5	1.4547234560558414e-21
	18.0	1.5068063169558835e-21
	18.5	1.5564993371300999e-21
	19.0	1.603924670796685e-21
	19.5	1.649196805768403e-21
	20.0	1.6924231441370084e-21
	20.5	1.733704531287833e-21
	21.0	1.7731357385193028e-21
	21.5	1.8108059039359863e-21
	22.0	1.846798935754871e-21
	22.5	1.881193881702107e-21
	23.0	1.9140652677723003e-21
	23.5	1.945483409266819e-21
	24.0	1.975514696714817e-21
	24.5	2.0042218590051656e-21
	25.0	2.031664205814329e-21
	30.0	2.247527100860006e-21
	35.0	2.3835852582878414e-21
	40.0	2.466271204158118e-21
	45.0	2.5123700663923414e-21
	50.0	2.5329318102810373e-21
	55.0	2.53544430536303e-21
	60.0	2.5251023846243714e-21
	65.0	2.5055802416911444e-21
	70.0	2.4795181130475994e-21
	75.0	2.4488380910758685e-21
	80.0	2.41495430354875e-21
	85.0	2.3789158903186805e-21
	90.0	2.3415061443453327e-21
	95.0	2.303312424003183e-21
	100.0	2.264776193506923e-21
	110.0	2.187920693958461e-21
	120.0	2.1127125571363135e-21
	140.0	1.970637703672997e-21
	160.0	1.8416602797063563e-21
	180.0	1.7257905399994518e-21
	200.0	1.6219794216789794e-21
	225.0	1.5071421480074345e-21
	250.0	1.4065241516143727e-21
	275.0	1.3178906939836088e-21
	300.0	1.2393656677445557e-21
	350.0	1.1067227996985075e-21
	400.0	9.99226889795159e-22
	450.0	9.104903213437938e-22
	500.0	8.360683270363736e-22
	550.0	7.727941788673369e-22
	600.0	7.183595579547426e-22
	650.0	6.710462066032467e-22
	700.0	6.295507018936341e-22
	750.0	5.928674308423885e-22
	800.0	5.602087026324895e-22
	850.0	5.30949079689122e-22
	900.0	5.045858422955266e-22
	950.0	4.807104184031782e-22
	1000.0	4.589874062933387e-22
