	e_energy	sigma
	16.0	1.3431066934659027e-21
	16.5	1.4610588946816345e-21
	17.0	1.5744177567912311e-21
	17.5	1.6833963087282116e-21
	18.0	1.7881952172467972e-21
	18.5	1.8890036593812877e-21
	19.0	1.986000122314845e-21
	19.5	2.079353137600148e-21
	20.0	2.169221955926047e-21
	20.5	2.2557571679655027e-21
	21.0	2.3391012762590813e-21
	21.5	2.4193892225749526e-21
	22.0	2.4967488747321054e-21
	22.5	2.5713014764708154e-21
	23.0	2.6431620635969638e-21
	23.5	2.71243984930892e-21
	24.0	2.7792385813326415e-21
	24.5	2.843656873238186e-21
	25.0	2.905788512085363e-21
	30.0	3.419038750423093e-21
	35.0	3.779848219353831e-21
	40.0	4.0334292245586e-21
	45.0	4.209791449778966e-21
	50.0	4.329502709312033e-21
	55.0	4.4070358489058686e-21
	60.0	4.4528008741390644e-21
	65.0	4.474425206599815e-21
	70.0	4.477585955432292e-21
	75.0	4.466565744991138e-21
	80.0	4.444632708823572e-21
	85.0	4.414305650512381e-21
	90.0	4.377542447106182e-21
	95.0	4.3358760791578814e-21
	100.0	4.29051426337824e-21
	110.0	4.192333907070831e-21
	120.0	4.088544578647303e-21
	140.0	3.877023616092247e-21
	160.0	3.671541324602014e-21
	180.0	3.4782187250031045e-21
	200.0	3.2990115306045066e-21
	225.0	3.0949018362832152e-21
	250.0	2.911453087227727e-21
	275.0	2.746546653128537e-21
	300.0	2.598003158799773e-21
	350.0	2.342150954426237e-21
	400.0	2.130480638253914e-21
	450.0	1.95296252341417e-21
	500.0	1.8021995866092415e-21
	550.0	1.6727022549802899e-21
	600.0	1.5603449390551995e-21
	650.0	1.4619824315533597e-21
	700.0	1.3751824355076042e-21
	750.0	1.2980382540930999e-21
	800.0	1.2290362024176488e-21
	850.0	1.1669605169254148e-21
	900.0	1.1108242160478652e-21
	950.0	1.0598181453851925e-21
	1000.0	1.013272934590902e-21
