	e_energy	sigma
	16.0	6.174451277041587e-22
	16.5	6.295903991906221e-22
	17.0	6.409045059261125e-22
	17.5	6.514430856846545e-22
	18.0	6.612573547732572e-22
	18.5	6.703945255909893e-22
	19.0	6.788981782606714e-22
	19.5	6.868085920962553e-22
	20.0	6.941630418583563e-22
	20.5	7.009960630657804e-22
	21.0	7.073396900508445e-22
	21.5	7.132236699533955e-22
	22.0	7.18675655428374e-22
	22.5	7.237213784827784e-22
	23.0	7.283848075502788e-22
	23.5	7.326882896474338e-22
	24.0	7.366526792278468e-22
	24.5	7.402974551540619e-22
	25.0	7.436408270369201e-22
	30.0	7.637667287886414e-22
	35.0	7.672200100793408e-22
	40.0	7.609442785791587e-22
	45.0	7.48948386240013e-22
	50.0	7.336377950359822e-22
	55.0	7.164966577486292e-22
	60.0	6.984583658689058e-22
	65.0	6.801165458610657e-22
	70.0	6.618499054045784e-22
	75.0	6.438984875486073e-22
	80.0	6.264114958417944e-22
	85.0	6.094779629566895e-22
	90.0	5.931467871323306e-22
	95.0	5.7744002726932685e-22
	100.0	5.623618382296595e-22
	110.0	5.340527577052786e-22
	120.0	5.08082105941455e-22
	140.0	4.623917665828114e-22
	160.0	4.237452795690981e-22
	180.0	3.907842218518969e-22
	200.0	3.624165514852251e-22
	225.0	3.3213027552488996e-22
	250.0	3.0642338782100427e-22
	275.0	2.843528087779339e-22
	300.0	2.6521084700137756e-22
	350.0	2.336797258310586e-22
	400.0	2.088048636563987e-22
	450.0	1.886921730218665e-22
	500.0	1.7209970781787043e-22
	550.0	1.5818091581795847e-22
	600.0	1.463395920082518e-22
	650.0	1.361440295950793e-22
	700.0	1.272741070670091e-22
	750.0	1.194875075563388e-22
	800.0	1.1259748113964183e-22
	850.0	1.0645780700806339e-22
	900.0	1.0095238038430048e-22
	950.0	9.598784846350233e-23
	1000.0	9.148830374231586e-23
