	e_energy	sigma
	16.0	6.37376047536543e-22
	16.5	6.675750162517584e-22
	17.0	6.96367717026639e-22
	17.5	7.238286491921532e-22
	18.0	7.5002744165392545e-22
	18.5	7.750292377442079e-22
	19.0	7.988950443419391e-22
	19.5	8.216820490659038e-22
	20.0	8.434439088901184e-22
	20.5	8.642310131352179e-22
	21.0	8.840907234460036e-22
	21.5	9.030675930659935e-22
	22.0	9.212035674585899e-22
	22.5	9.38538168095964e-22
	23.0	9.551086610365454e-22
	23.5	9.709502117361678e-22
	24.0	9.860960273832999e-22
	24.5	1.0005774879124821e-21
	25.0	1.0144242667298002e-21
	30.0	1.1234922523702656e-21
	35.0	1.192461976801006e-21
	40.0	1.2345814976159257e-21
	45.0	1.2582721636040123e-21
	50.0	1.2690831425389023e-21
	55.0	1.2707781412454635e-21
	60.0	1.265970589337472e-21
	65.0	1.2565105331130503e-21
	70.0	1.2437285861616165e-21
	75.0	1.2285943350872879e-21
	80.0	1.2118218268367618e-21
	85.0	1.1939413701686778e-21
	90.0	1.1753493520146475e-21
	95.0	1.156343386867306e-21
	100.0	1.1371474893775288e-21
	110.0	1.0988187093535231e-21
	120.0	1.061266686857494e-21
	140.0	9.902387010768145e-22
	160.0	9.256821240379025e-22
	180.0	8.676375196585702e-22
	200.0	8.156005694119988e-22
	225.0	7.580047175655641e-22
	250.0	7.075157488992016e-22
	275.0	6.63023009281537e-22
	300.0	6.235918011351108e-22
	350.0	5.569599952828405e-22
	400.0	5.029385658256385e-22
	450.0	4.583305991270335e-22
	500.0	4.20909295180221e-22
	550.0	3.890869785551008e-22
	600.0	3.617056980248229e-22
	650.0	3.3790311895455634e-22
	700.0	3.1702486098125464e-22
	750.0	2.985659061410389e-22
	800.0	2.8213057566724646e-22
	850.0	2.6740462607154745e-22
	900.0	2.541354237555373e-22
	950.0	2.4211761310476978e-22
	1000.0	2.3118259022292475e-22
