	e_energy	sigma
	16.0	1.0844302841372498e-23
	16.5	1.1682303350367794e-23
	17.0	1.2486654009962294e-23
	17.5	1.3258952911328115e-23
	18.0	1.4000703384590005e-23
	18.5	1.4713320825866542e-23
	19.0	1.5398138944763443e-23
	19.5	1.605641548885012e-23
	20.0	1.6689337495437134e-23
	20.5	1.7298026115516892e-23
	21.0	1.7883541049930854e-23
	21.5	1.844688463359751e-23
	22.0	1.898900559990159e-23
	22.5	1.9510802554043772e-23
	23.0	2.0013127181225196e-23
	23.5	2.0496787212946916e-23
	24.0	2.0962549172398493e-23
	24.5	2.1411140917858294e-23
	25.0	2.1843254001199005e-23
	30.0	2.5388196795970127e-23
	35.0	2.784428434511123e-23
	40.0	2.9540535022420754e-23
	45.0	3.069374344398711e-23
	50.0	3.1451520408871264e-23
	55.0	3.19171056640138e-23
	60.0	3.216433321546374e-23
	65.0	3.224700430758148e-23
	70.0	3.220494853556927e-23
	75.0	3.20680522575952e-23
	80.0	3.185900037087388e-23
	85.0	3.1595181541006906e-23
	90.0	3.1290036556406887e-23
	95.0	3.095402817142282e-23
	100.0	3.059534885179292e-23
	110.0	2.9834403232282764e-23
	120.0	2.904419864193185e-23
	140.0	2.746028699377517e-23
	160.0	2.5943174608621907e-23
	180.0	2.4529047803286896e-23
	200.0	2.322694501735662e-23
	225.0	2.175227776530775e-23
	250.0	2.043334400538568e-23
	275.0	1.92522880047677e-23
	300.0	1.8191759250480062e-23
	350.0	1.6371794806691033e-23
	400.0	1.4871930872346793e-23
	450.0	1.3617783505011563e-23
	500.0	1.255515486288495e-23
	550.0	1.1644154455067683e-23
	600.0	1.0854985164363876e-23
	650.0	1.0165037220336912e-23
	700.0	9.55689134194328e-24
	750.0	9.016934530280009e-24
	800.0	8.534387668691138e-24
	850.0	8.100612248968623e-24
	900.0	7.708608700365069e-24
	950.0	7.352648120485597e-24
	1000.0	7.027998236733342e-24
