	e_energy	sigma
	16.0	3.746899436980903e-21
	16.5	3.859188952894319e-21
	17.0	3.9651967530078925e-21
	17.5	4.065298480282928e-21
	18.0	4.15984253149716e-21
	18.5	4.249152427743394e-21
	19.0	4.333528943563091e-21
	19.5	4.4132520228321895e-21
	20.0	4.4885825058378614e-21
	20.5	4.559763688838829e-21
	21.0	4.6270227347040794e-21
	21.5	4.690571950905369e-21
	22.0	4.750609949139849e-21
	22.5	4.8073226991320184e-21
	23.0	4.860884487668459e-21
	23.5	4.911458792620685e-21
	24.0	4.959199080582169e-21
	24.5	5.0042495357611845e-21
	25.0	5.046745726911336e-21
	30.0	5.355974583791197e-21
	35.0	5.513272407655986e-21
	40.0	5.5746658524405245e-21
	45.0	5.57418365411104e-21
	50.0	5.533304980295509e-21
	55.0	5.4659993336963034e-21
	60.0	5.381566672647848e-21
	65.0	5.286311013595892e-21
	70.0	5.184563798878344e-21
	75.0	5.079329403684399e-21
	80.0	4.9727031848669184e-21
	85.0	4.86614841151147e-21
	90.0	4.7606833271287866e-21
	95.0	4.657009662409809e-21
	100.0	4.555602232226581e-21
	110.0	4.360712284650175e-21
	120.0	4.177267760197171e-21
	140.0	3.8450026443500435e-21
	160.0	3.555498404580273e-21
	180.0	3.3030440056397735e-21
	200.0	3.08196867214501e-21
	225.0	2.8422694598981728e-21
	250.0	2.6359689838769666e-21
	275.0	2.4568418325373412e-21
	300.0	2.3000231297986004e-21
	350.0	2.0388301930815333e-21
	400.0	1.8303134971190216e-21
	450.0	1.6601659914256003e-21
	500.0	1.518772989800363e-21
	550.0	1.3994579469650697e-21
	600.0	1.2974496759000902e-21
	650.0	1.2092524467404847e-21
	700.0	1.1322487155387761e-21
	750.0	1.0644408200573014e-21
	800.0	1.004278381217814e-21
	850.0	9.50540123911966e-22
	900.0	9.022511735339275e-22
	950.0	8.5862403468702e-22
	1000.0	8.190157216893319e-22
