	e_energy	sigma
	16.0	4.398900045486461e-22
	16.5	4.971097254475073e-22
	17.0	5.522640189326163e-22
	17.5	6.054430784061081e-22
	18.0	6.567321445987201e-22
	18.5	7.062118370566707e-22
	19.0	7.539584594394918e-22
	19.5	8.000442810092311e-22
	20.0	8.445377964473911e-22
	20.5	8.875039659197296e-22
	21.0	9.290044371170972e-22
	21.5	9.690977508298755e-22
	22.0	1.0078395314616786e-21
	22.5	1.0452826637525297e-21
	23.0	1.081477456860809e-21
	23.5	1.1164717968451197e-21
	24.0	1.1503112884904018e-21
	24.5	1.1830393873358162e-21
	25.0	1.2146975226839777e-21
	30.0	1.480305069079851e-21
	35.0	1.673042507841687e-21
	40.0	1.8135411039700727e-21
	45.0	1.915742259833171e-21
	50.0	1.9893552270466546e-21
	55.0	2.041313006521858e-21
	60.0	2.076671239011003e-21
	65.0	2.099182903318007e-21
	70.0	2.111676865215687e-21
	75.0	2.11631372922243e-21
	80.0	2.114762689024973e-21
	85.0	2.1083262070420833e-21
	90.0	2.0980294629125964e-21
	95.0	2.0846855330761088e-21
	100.0	2.0689435530797005e-21
	110.0	2.0322497420909743e-21
	120.0	1.9910306996677744e-21
	140.0	1.9024791202645916e-21
	160.0	1.8127333341789494e-21
	180.0	1.7260031230187183e-21
	200.0	1.64406967599494e-21
	225.0	1.5492730547827611e-21
	250.0	1.462923133947536e-21
	275.0	1.3844828273543245e-21
	300.0	1.313223419401336e-21
	350.0	1.1892666569557491e-21
	400.0	1.0856463463963725e-21
	450.0	9.98055007112533e-22
	500.0	9.23198610873079e-22
	550.0	8.585732663465076e-22
	600.0	8.022644228945615e-22
	650.0	7.527931362940584e-22
	700.0	7.090036799243851e-22
	750.0	6.699823176096372e-22
	800.0	6.349984807512483e-22
	850.0	6.034618405688558e-22
	900.0	5.748906616417167e-22
	950.0	5.488882142168653e-22
	1000.0	5.251249967695514e-22
