	e_energy	sigma
	16.0	3.5659759767962107e-20
	16.5	3.6449030844543494e-20
	17.0	3.718739965315707e-20
	17.5	3.787816977472694e-20
	18.0	3.8524388600440685e-20
	18.5	3.9128871007645685e-20
	19.0	3.969422048374263e-20
	19.5	4.022284801216308e-20
	20.0	4.0716988991163826e-20
	20.5	4.117871841943118e-20
	21.0	4.160996455126044e-20
	21.5	4.20125211974577e-20
	22.0	4.23880588253567e-20
	22.5	4.273813459184185e-20
	23.0	4.3064201426510353e-20
	23.5	4.3367616267668854e-20
	24.0	4.36496475413932e-20
	24.5	4.391148196308825e-20
	25.0	4.415423073162208e-20
	30.0	4.573246402158106e-20
	35.0	4.6231394081770706e-20
	40.0	4.6084620359012257e-20
	45.0	4.554624542517027e-20
	50.0	4.4771088040591404e-20
	55.0	4.385624361363301e-20
	60.0	4.2863897600343675e-20
	65.0	4.183444416697015e-20
	70.0	4.0794323058570454e-20
	75.0	3.976085191217877e-20
	80.0	3.874528624898048e-20
	85.0	3.7754801232034636e-20
	90.0	3.679379982869553e-20
	95.0	3.586479039864281e-20
	100.0	3.4968983501490013e-20
	110.0	3.3277667935040016e-20
	120.0	3.1716346913969894e-20
	140.0	2.8949793179823794e-20
	160.0	2.659242456555898e-20
	180.0	2.4570648412507096e-20
	200.0	2.282300605661277e-20
	225.0	2.0949876547749358e-20
	250.0	1.9354372230644485e-20
	275.0	1.798063465860919e-20
	300.0	1.6786350300125368e-20
	350.0	1.481355591717435e-20
	400.0	1.3252517471429248e-20
	450.0	1.1987393401150171e-20
	500.0	1.0941765796808448e-20
	550.0	1.0063305564274242e-20
	600.0	9.315024793084182e-21
	650.0	8.670062026166393e-21
	700.0	8.108450260672131e-21
	750.0	7.61504437430528e-21
	800.0	7.178151758776046e-21
	850.0	6.78860347039792e-21
	900.0	6.439109360439689e-21
	950.0	6.12380100096312e-21
	1000.0	5.837901662391911e-21
