	e_energy	sigma
	16.0	2.1665836044097796e-23
	16.5	2.21695546623366e-23
	17.0	2.2641560721832635e-23
	17.5	2.3083885584882332e-23
	18.0	2.349840472913754e-23
	18.5	2.3886852019354412e-23
	19.0	2.4250832454265622e-23
	19.5	2.4591833574670627e-23
	20.0	2.491123569336226e-23
	20.5	2.521032108588669e-23
	21.0	2.5490282262731107e-23
	21.5	2.5752229427825535e-23
	22.0	2.599719721480083e-23
	22.5	2.6226150780907175e-23
	23.0	2.6439991328571267e-23
	23.5	2.6639561116008484e-23
	24.0	2.682564801090482e-23
	24.5	2.699898963476961e-23
	25.0	2.7160277139988835e-23
	30.0	2.823510358405819e-23
	35.0	2.8622240732024555e-23
	40.0	2.859396426650399e-23
	45.0	2.83108074575722e-23
	50.0	2.7871179746829686e-23
	55.0	2.7337197217013466e-23
	60.0	2.6748922746459816e-23
	65.0	2.6132587991679044e-23
	70.0	2.550552432644585e-23
	75.0	2.4879215065292234e-23
	80.0	2.4261235722811766e-23
	85.0	2.3656515548212642e-23
	90.0	2.3068173660878274e-23
	95.0	2.249808237308223e-23
	100.0	2.1947252019856596e-23
	110.0	2.0904621120281782e-23
	120.0	1.993941646255043e-23
	140.0	1.8223648651228045e-23
	160.0	1.6756833611146863e-23
	180.0	1.549572052903423e-23
	200.0	1.4403488718582232e-23
	225.0	1.3230807653175514e-23
	250.0	1.223038050281043e-23
	275.0	1.1367918031503926e-23
	300.0	1.0617332900442663e-23
	350.0	9.375927318901396e-24
	400.0	8.392313972463536e-24
	450.0	7.594337395949281e-24
	500.0	6.934269015509536e-24
	550.0	6.3793582130483655e-24
	600.0	5.906418292934635e-24
	650.0	5.4985884792893804e-24
	700.0	5.143322010500546e-24
	750.0	4.8310933812260265e-24
	800.0	4.554542801870922e-24
	850.0	4.3078950824870395e-24
	900.0	4.0865557114777134e-24
	950.0	3.886824273906015e-24
	1000.0	3.705687348714715e-24
