	e_energy	sigma
	16.0	1.2054046274460064e-21
	16.5	1.2375181591222118e-21
	17.0	1.2677365950469695e-21
	17.5	1.2961769486258457e-21
	18.0	1.3229475179399485e-21
	18.5	1.3481486625090128e-21
	19.0	1.3718734991354536e-21
	19.5	1.394208526466629e-21
	20.0	1.4152341866241807e-21
	20.5	1.4350253711514749e-21
	21.0	1.453651877592017e-21
	21.5	1.471178822207875e-21
	22.0	1.4876670136566162e-21
	22.5	1.5031732918505297e-21
	23.0	1.5177508357084533e-21
	23.5	1.5314494430662219e-21
	24.0	1.5443157856263429e-21
	24.5	1.5563936414925042e-21
	25.0	1.5677241075426987e-21
	30.0	1.647391116235104e-21
	35.0	1.6834211984949461e-21
	40.0	1.6924307569490437e-21
	45.0	1.6843776055657775e-21
	50.0	1.6654655510719426e-21
	55.0	1.6396763989021718e-21
	60.0	1.60962461175303e-21
	65.0	1.57705626407651e-21
	70.0	1.5431514627055693e-21
	75.0	1.5087134877719268e-21
	80.0	1.4742902672557169e-21
	85.0	1.4402541798028792e-21
	90.0	1.4068555099709405e-21
	95.0	1.3742588590712923e-21
	100.0	1.3425683066522274e-21
	110.0	1.2821196790856445e-21
	120.0	1.2256841021273753e-21
	140.0	1.1243964205839783e-21
	160.0	1.036954950369215e-21
	180.0	9.612246772201587e-22
	200.0	8.952600561410111e-22
	225.0	8.240759223830099e-22
	250.0	7.630697606076731e-22
	275.0	7.102811356379578e-22
	300.0	6.641984567592958e-22
	350.0	5.87703118291321e-22
	400.0	5.268555030604756e-22
	450.0	4.773426611833578e-22
	500.0	4.36288479487639e-22
	550.0	4.0170729288922943e-22
	600.0	3.721865224287125e-22
	650.0	3.4669497916569745e-22
	700.0	3.24462848120187e-22
	750.0	3.049041050292797e-22
	800.0	2.8756491869642413e-22
	850.0	2.720884596339254e-22
	900.0	2.581903539346453e-22
	950.0	2.456412155545493e-22
	1000.0	2.342539900325244e-22
