	e_energy	sigma
	16.0	3.3655274717558257e-22
	16.5	3.864127518084767e-22
	17.0	4.345083186714089e-22
	17.5	4.809152709553784e-22
	18.0	5.257053295937317e-22
	18.5	5.689463839340124e-22
	19.0	6.107027413223475e-22
	19.5	6.510353574908875e-22
	20.0	6.900020494476159e-22
	20.5	7.276576923981309e-22
	21.0	7.640544020780915e-22
	21.5	7.992417037406938e-22
	22.0	8.332666889237255e-22
	22.5	8.661741610137817e-22
	23.0	8.980067705295432e-22
	23.5	9.2880514096037e-22
	24.0	9.586079859196355e-22
	24.5	9.87452218303256e-22
	25.0	1.0153730520818891e-21
	30.0	1.2504996841112701e-21
	35.0	1.4223946282738746e-21
	40.0	1.5487427027717077e-21
	45.0	1.6415497174166867e-21
	50.0	1.7092114347194315e-21
	55.0	1.7577454857145637e-21
	60.0	1.7915553370467226e-21
	65.0	1.8139206237452078e-21
	70.0	1.827321246015489e-21
	75.0	1.8336571049106936e-21
	80.0	1.834400425146577e-21
	85.0	1.830703429089694e-21
	90.0	1.8234757780778954e-21
	95.0	1.813441136013752e-21
	100.0	1.8011790594282123e-21
	110.0	1.7717511765042485e-21
	120.0	1.7379659369057458e-21
	140.0	1.6640981280577712e-21
	160.0	1.5882312803904337e-21
	180.0	1.5143174538592263e-21
	200.0	1.4441008021648683e-21
	225.0	1.3624891236716923e-21
	250.0	1.2878631741016604e-21
	275.0	1.2198704842376208e-21
	300.0	1.1579538570489573e-21
	350.0	1.0499490370381107e-21
	400.0	9.594010463044708e-22
	450.0	8.826907926437057e-22
	500.0	8.170191675680276e-22
	550.0	7.602430006844052e-22
	600.0	7.107151385137619e-22
	650.0	6.671582777850404e-22
	700.0	6.285712366204396e-22
	750.0	5.941605189742211e-22
	800.0	5.632903995097608e-22
	850.0	5.354463014007127e-22
	900.0	5.102076854320134e-22
	950.0	4.872277746979623e-22
	1000.0	4.662182309650207e-22
