v J_v_vp J_v_vpp sigma1 sigma2 sigma3 E_1 E_2 E_3
0 9.6 11.6 1.4 3.1 4.2 15 25 40
4 8.8 12.0 1.7 3.5 4.6 15 25 40
8 8.2 12.4 2.1 4.0 5.1 15 25 40
12 7.6 12.8 2.6 4.5 5.6 15 25 40
16 7.1 13.2 3.0 5.1 6.2 15 25 40
20 6.8 13.6 3.4 5.5 6.6 15 25 40
24 6.6 14.0 3.7 5.8 6.8 15 25 40
