x,Nii
0.0395,0.39895
0.3794,0.40306
0.7051,0.40854
1.045,0.41264
1.385,0.41674
1.7249,0.42084
2.0649,0.42494
2.4047,0.43042
2.7303,0.43591
3.0703,0.44001
3.4102,0.44411
3.75,0.44959
4.1043,0.45231
4.4299,0.45779
4.7558,0.46051
5.1101,0.46323
5.4359,0.46734
5.7616,0.47144
6.1017,0.47416
6.4417,0.47826
6.7818,0.48098
7.1077,0.48371
7.4621,0.48505
7.8021,0.48777
8.1421,0.49187
8.468,0.49459
8.8081,0.49732
9.1482,0.50004
9.4882,0.50276
9.8283,0.50548
